SITEVISITID,REGION,ISLAND,SITE,REEF_ZONE,DEPTH_BIN,MISSIONID,OBS_YEAR,DATE_,HABITAT_CODE,LATITUDE_LOV,LONGITUDE_LOV,EXCLUDE_FLAG,new_MIN_DEPTH_M,new_MAX_DEPTH_M,Benthic,Fish,SEC_NAME,TYPE,ANALYSIS_SCHEME,ANALYSIS_YEAR,TUT2012,OTHER_AREA_GROUPING,SPECIAL_PROJ_YN,SPECIAL_PROJ_DESCRIPTION
10243,NWHI,Kure,KUR-00582,Forereef,Deep,HA1606,2016,9/13/2016,SAG,28.44487,-178.3638,0,18.2,26.7,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10234,NWHI,Kure,KUR-00781,Forereef,Shallow,HA1606,2016,9/13/2016,SAG,28.43898,-178.3631,0,4.571777,6.400488,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
9113,NWHI,Kure,KUR-04003,Forereef,Deep,HA1505,2015,8/10/2015,SAG,28.38796,-178.3624,0,18.59189,20.4206,1,0,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
9122,NWHI,Kure,KUR-04043,Forereef,Shallow,HA1505,2015,8/11/2015,PAV,28.40217,-178.3623,0,4.6,4.9,0,1,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
10233,NWHI,Kure,KUR-00754,Forereef,Mid,HA1606,2016,9/13/2016,SAG,28.44253,-178.3622,0,10.05791,11.58183,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10220,NWHI,Kure,KUR-00583,Forereef,Deep,HA1606,2016,9/12/2016,APR,28.38587,-178.3617,0,24.4,25.9,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10238,NWHI,Kure,KUR-00629,Forereef,Mid,HA1606,2016,9/13/2016,SAG,28.44688,-178.3608,0,14.8,15.9,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
9112,NWHI,Kure,KUR-04039,Forereef,Mid,HA1505,2015,8/10/2015,SAG,28.44354,-178.3604,0,9,11.4,0,1,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
9120,NWHI,Kure,KUR-04020,Forereef,Deep,HA1505,2015,8/11/2015,PAV,28.38656,-178.3604,0,24,25.6,0,1,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
9121,NWHI,Kure,KUR-04046,Forereef,Shallow,HA1505,2015,8/11/2015,PAV,28.39152,-178.3585,0,4.3,5.5,0,1,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
10216,NWHI,Kure,KUR-00736,Forereef,Mid,HA1606,2016,9/12/2016,AGR,28.38916,-178.3583,0,9.143554,10.36269,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10228,NWHI,Kure,KUR-00626,Forereef,Mid,HA1606,2016,9/12/2016,AGR,28.39001,-178.3579,0,7.4,7.5,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
9117,NWHI,Kure,KUR-04017,Forereef,Shallow,HA1505,2015,8/11/2015,AGR,28.44404,-178.3568,0,4.571777,5.790917,1,0,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
9116,NWHI,Kure,KUR-04002,Forereef,Deep,HA1505,2015,8/11/2015,SAG,28.45335,-178.3542,0,20.72539,21.63974,1,0,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
10244,NWHI,Kure,KUR-00628,Forereef,Mid,HA1606,2016,9/13/2016,SAG,28.44896,-178.3515,0,9.6,10.1,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10218,NWHI,Kure,KUR-00765,Forereef,Shallow,HA1606,2016,9/12/2016,AGR,28.38802,-178.3483,0,3.047851,4.266992,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
11336,NWHI,Kure,KUR-00737,Forereef,Mid,HA1704,2017,9/19/2017,SAG,28.38541,-178.3481,0,12.5,14.2,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,
12551,NWHI,Kure,KUR-00737,Forereef,Mid,HA1704,2017,9/19/2017,SAG,28.38541,-178.3481,0,12.8,13.9,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
10221,NWHI,Kure,KUR-00578,Forereef,Deep,HA1606,2016,9/12/2016,APR,28.3836,-178.3465,0,19.4,20.5,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10249,NWHI,Kure,KUR-00771,Forereef,Shallow,HA1606,2016,9/14/2016,SAG,28.45207,-178.3422,0,4.571777,5.790917,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10245,NWHI,Kure,KUR-00638,Forereef,Mid,HA1606,2016,9/13/2016,SAG,28.45413,-178.3413,0,10,16,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
5901,NWHI,Kure,KUR-00052,Forereef,Mid,SE1305,2013,7/12/2013,NA,28.38506,-178.34087,0,15,18,0,0,Kure,NA,RAMP_BASIC,2013,NA,NA,NA,NA
10219,NWHI,Kure,KUR-00052,Forereef,Mid,HA1606,2016,9/12/2016,NA,28.38506,-178.34087,0,15,18,0,0,Kure,NA,RAMP_BASIC,2016,NA,NA,NA,NA
10235,NWHI,Kure,KUR-00770,Forereef,Shallow,HA1606,2016,9/13/2016,SAG,28.38718,-178.3405,0,3.352636,4.876562,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10217,NWHI,Kure,KUR-00746,Forereef,Mid,HA1606,2016,9/12/2016,AGR,28.38619,-178.3403,0,10.05791,13.10576,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
9114,NWHI,Kure,KUR-04010,Forereef,Mid,HA1505,2015,8/10/2015,SAG,28.38538,-178.3401,0,9.143554,10.66748,1,0,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
10239,NWHI,Kure,KUR-00625,Forereef,Mid,HA1606,2016,9/13/2016,SAG,28.45417,-178.3388,0,10,14,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10214,NWHI,Kure,KUR-00748,Forereef,Mid,HA1606,2016,9/12/2016,SAG,28.38491,-178.3356,0,10.36269,13.71533,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
11337,NWHI,Kure,KUR-00733,Forereef,Deep,HA1704,2017,9/19/2017,SAG,28.38105,-178.3354,0,20.1,24.2,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,
12549,NWHI,Kure,KUR-00733,Forereef,Deep,HA1704,2017,9/19/2017,SAG,28.38105,-178.3354,0,20.9,23.8,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
10230,NWHI,Kure,KUR-00611,Forereef,Shallow,HA1606,2016,9/12/2016,AGR,28.38573,-178.3332,0,4,5.8,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
11330,NWHI,Kure,KUR-04059,Forereef,Deep,HA1704,2017,9/19/2017,SAG,28.38131,-178.3318,0,17.8,20.1,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,
10229,NWHI,Kure,KUR-00637,Forereef,Mid,HA1606,2016,9/12/2016,SAG,28.38174,-178.3277,0,14,19,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10222,NWHI,Kure,KUR-00589,Forereef,Deep,HA1606,2016,9/12/2016,SAG,28.38081,-178.3274,0,20.3,23.7,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10248,NWHI,Kure,KUR-00734,Forereef,Mid,HA1606,2016,9/14/2016,SAG,28.45797,-178.3262,0,11.58183,14.02012,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
9111,NWHI,Kure,KUR-04037,Forereef,Mid,HA1505,2015,8/10/2015,SAG,28.45857,-178.3224,0,11.9,16.7,0,1,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
10250,NWHI,Kure,KUR-00779,Forereef,Shallow,HA1606,2016,9/14/2016,SAG,28.45638,-178.3223,0,4.266992,5.790917,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10268,NWHI,Kure,KUR-00732,Forereef,Shallow,HA1606,2016,9/15/2016,SAG,28.38394,-178.3221,0,2.415361,2.786955,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10212,NWHI,Kure,KUR-00714,Forereef,Deep,HA1606,2016,9/12/2016,AGR,28.38061,-178.3183,0,19.20146,23.77324,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10231,NWHI,Kure,KUR-00598,Forereef,Shallow,HA1606,2016,9/12/2016,AGR,28.38593,-178.3158,0,3.4,6.5,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10213,NWHI,Kure,KUR-00741,Forereef,Mid,HA1606,2016,9/12/2016,AGR,28.38139,-178.3129,0,14.02012,14.93447,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10257,NWHI,Kure,KUR-00627,Forereef,Mid,HA1606,2016,9/14/2016,SAG,28.45525,-178.3121,0,11,11.5,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
9110,NWHI,Kure,KUR-04026,Forereef,Deep,HA1505,2015,8/10/2015,SAG,28.45947,-178.3111,0,21,23.7,0,1,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
11342,NWHI,Kure,KUR-04117,Forereef,Mid,HA1704,2017,9/19/2017,SAG,28.3842,-178.3098,0,9.143554,10.66748,1,0,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
11344,NWHI,Kure,KUR-04115,Forereef,Shallow,HA1704,2017,9/19/2017,SAG,28.38395,-178.3078,0,5.181347,7.314843,1,0,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
10223,NWHI,Kure,KUR-00592,Forereef,Deep,HA1606,2016,9/12/2016,RRB,28.37867,-178.3062,0,19.8,21.8,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
11335,NWHI,Kure,KUR-04080,Forereef,Shallow,HA1704,2017,9/19/2017,SAG,28.38454,-178.3035,0,3.6,6.4,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,
10253,NWHI,Kure,KUR-00593,Forereef,Deep,HA1606,2016,9/14/2016,SAG,28.45255,-178.3016,0,22.3,22.7,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
11338,NWHI,Kure,KUR-00739,Forereef,Mid,HA1704,2017,9/19/2017,AGR,28.38153,-178.3003,0,14.2,16.8,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,
12552,NWHI,Kure,KUR-00739,Forereef,Mid,HA1704,2017,9/19/2017,AGR,28.38153,-178.3003,0,13.7,17.3,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
10247,NWHI,Kure,KUR-00708,Forereef,Deep,HA1606,2016,9/14/2016,SAG,28.45127,-178.2991,0,18.59189,21.33496,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10259,NWHI,Kure,KUR-00632,Forereef,Mid,HA1606,2016,9/14/2016,SAG,28.44669,-178.2988,0,10,12.9,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10251,NWHI,Kure,KUR-00780,Forereef,Shallow,HA1606,2016,9/14/2016,SAG,28.44431,-178.2978,0,3.962207,5.790917,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
9109,NWHI,Kure,KUR-04019,Forereef,Deep,HA1505,2015,8/10/2015,SAG,28.45412,-178.297,0,27.4,29,0,1,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
11343,NWHI,Kure,KUR-04130,Forereef,Shallow,HA1704,2017,9/19/2017,SAG,28.38481,-178.2968,0,3.352636,5.790917,1,0,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
10258,NWHI,Kure,KUR-00577,Forereef,Deep,HA1606,2016,9/14/2016,SAG,28.44775,-178.296,0,20.5,23.6,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10225,NWHI,Kure,KUR-00642,Forereef,Mid,HA1606,2016,9/12/2016,RRB,28.38392,-178.2925,0,17.6,18.5,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10254,NWHI,Kure,KUR-00646,Forereef,Mid,HA1606,2016,9/14/2016,SAG,28.4384,-178.2914,0,9.1,11.2,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10260,NWHI,Kure,KUR-00590,Forereef,Deep,HA1606,2016,9/14/2016,SAG,28.4394,-178.289,0,19.2,23.2,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10267,NWHI,Kure,KUR-00753,Forereef,Mid,HA1606,2016,9/15/2016,SAG,28.43506,-178.2877,0,13.71533,16.15361,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10224,NWHI,Kure,KUR-00623,Forereef,Mid,HA1606,2016,9/12/2016,SAG,28.38887,-178.2863,0,10.9,15.5,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10261,NWHI,Kure,KUR-00647,Forereef,Mid,HA1606,2016,9/14/2016,SAG,28.42395,-178.2854,0,10.4,12,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
5903,NWHI,Kure,KUR-00054,Forereef,Mid,SE1305,2013,7/13/2013,NA,28.43037,-178.28523,0,16,20,0,0,Kure,NA,RAMP_BASIC,2013,NA,NA,NA,NA
10276,NWHI,Kure,KUR-00054,Forereef,Mid,HA1606,2016,9/15/2016,NA,28.43037,-178.28523,0,16,20,0,0,Kure,NA,RAMP_BASIC,2016,NA,NA,NA,NA
10255,NWHI,Kure,KUR-00630,Forereef,Mid,HA1606,2016,9/14/2016,SAG,28.42923,-178.2852,0,13.4,16.1,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10256,NWHI,Kure,KUR-00619,Forereef,Shallow,HA1606,2016,9/14/2016,SAG,28.41324,-178.2841,0,4.5,5.8,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
11334,NWHI,Kure,KUR-04081,Forereef,Shallow,HA1704,2017,9/19/2017,SAG,28.39502,-178.2838,0,4.3,5.3,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,
10275,NWHI,Kure,KUR-00595,Forereef,Shallow,HA1606,2016,9/15/2016,SAG,28.39583,-178.2837,0,4.2,7.4,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10262,NWHI,Kure,KUR-00599,Forereef,Shallow,HA1606,2016,9/14/2016,SAG,28.40657,-178.283,0,4,6,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10271,NWHI,Kure,KUR-00639,Forereef,Mid,HA1606,2016,9/15/2016,SAG,28.40657,-178.283,0,13.7,14.3,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10270,NWHI,Kure,KUR-00612,Forereef,Shallow,HA1606,2016,9/15/2016,SAG,28.39944,-178.2829,0,3,4.3,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
11341,NWHI,Kure,KUR-04113,Forereef,Mid,HA1704,2017,9/19/2017,SAG,28.41812,-178.2825,0,12.80098,14.3249,1,0,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
10273,NWHI,Kure,KUR-00574,Forereef,Deep,HA1606,2016,9/15/2016,RRB,28.388,-178.2822,0,25.9,26.4,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
11332,NWHI,Kure,KUR-04068,Forereef,Mid,HA1704,2017,9/19/2017,SAG,28.39384,-178.2817,0,11.4,11.7,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,
11333,NWHI,Kure,KUR-04076,Forereef,Mid,HA1704,2017,9/19/2017,SAG,28.41321,-178.2805,0,13.1,16.2,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,
10272,NWHI,Kure,KUR-00634,Forereef,Mid,HA1606,2016,9/15/2016,SAG,28.39854,-178.2796,0,14.6,16.8,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
11340,NWHI,Kure,KUR-00735,Forereef,Mid,HA1704,2017,9/19/2017,SAG,28.40194,-178.2794,0,13.1,17.7,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,
12550,NWHI,Kure,KUR-00735,Forereef,Mid,HA1704,2017,9/19/2017,SAG,28.40194,-178.2794,0,12.4,16.8,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
10274,NWHI,Kure,KUR-00579,Forereef,Deep,HA1606,2016,9/15/2016,RRB,28.39955,-178.2785,0,18.4,21.3,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10269,NWHI,Kure,KUR-00591,Forereef,Deep,HA1606,2016,9/15/2016,RRB,28.39434,-178.278,0,25.9,26.8,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10266,NWHI,Kure,KUR-00706,Forereef,Deep,HA1606,2016,9/15/2016,RRB,28.40198,-178.275,0,25.29717,26.21152,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
9138,NWHI,Midway,MID-04128,Forereef,Deep,HA1505,2015,8/13/2015,PSC,28.21055,-177.4308,0,24.6,26.2,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7304,NWHI,Midway,MID-04094,Forereef,Deep,HA1404,2014,8/21/2014,SAG,28.22268463,-177.4296629,0,22,25.6,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7305,NWHI,Midway,MID-04092,Forereef,Deep,HA1404,2014,8/21/2014,PAV,28.20296,-177.428641,0,27,27.4,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7310,NWHI,Midway,MID-04041,Forereef,Deep,HA1404,2014,8/21/2014,SAG,28.24088342,-177.4255512,0,18,24,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7314,NWHI,Midway,MID-04041,Forereef,Deep,HA1404,2014,8/21/2014,SAG,28.24088342,-177.4255512,0,18.59189272,19.5062481,1,0,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
9139,NWHI,Midway,MID-04153,Forereef,Mid,HA1505,2015,8/13/2015,SAG,28.20447,-177.4245,0,11.2,14.6,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7306,NWHI,Midway,MID-04007,Forereef,Mid,HA1404,2014,8/21/2014,SAG,28.21738383,-177.4243182,0,7.6,9.1,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
9137,NWHI,Midway,MID-04184,Forereef,Shallow,HA1505,2015,8/13/2015,SAG,28.22287,-177.4226,0,4.571777,6.095703,1,0,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
7311,NWHI,Midway,MID-04070,Forereef,Mid,HA1404,2014,8/21/2014,SAG,28.22993137,-177.4207886,0,9.2,9.8,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7315,NWHI,Midway,MID-04070,Forereef,Mid,HA1404,2014,8/21/2014,SAG,28.22993137,-177.4207886,0,6.705272783,8.229198415,1,0,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
7308,NWHI,Midway,MID-04036,Forereef,Mid,HA1404,2014,8/21/2014,PAV,28.24145154,-177.4202441,0,11.5,12.2,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7294,NWHI,Midway,MID-04068,Forereef,Deep,HA1404,2014,8/20/2014,PAV,28.25276954,-177.4200206,0,24.7,25,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7307,NWHI,Midway,MID-04059,Forereef,Shallow,HA1404,2014,8/21/2014,PAV,28.22622011,-177.4188763,0,5.2,6.4,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7276,NWHI,Midway,MID-04088,Backreef,Shallow,HA1404,2014,8/19/2014,RRB,28.202802,-177.4181534,0,1.4,2.8,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7280,NWHI,Midway,MID-04088,Backreef,Shallow,HA1404,2014,8/19/2014,RRB,28.202802,-177.4181534,0,1.523925632,2.438281012,1,0,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
7313,NWHI,Midway,MID-04051,Forereef,Shallow,HA1404,2014,8/21/2014,PAV,28.24458662,-177.4142788,0,4.3,5,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7316,NWHI,Midway,MID-04051,Forereef,Shallow,HA1404,2014,8/21/2014,PAV,28.24458662,-177.4142788,0,3.657421518,4.571776897,1,0,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
7293,NWHI,Midway,MID-04069,Forereef,Mid,HA1404,2014,8/20/2014,SAG,28.25765326,-177.4134396,0,16.3,18.3,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7309,NWHI,Midway,MID-04096,Forereef,Mid,HA1404,2014,8/21/2014,PSC,28.25320817,-177.4132708,0,10.4,12.4,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7295,NWHI,Midway,MID-04032,Forereef,Shallow,HA1404,2014,8/20/2014,PSC,28.24814684,-177.4070574,0,4.6,5.2,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7291,NWHI,Midway,MID-04023,Forereef,Mid,HA1404,2014,8/20/2014,SAG,28.26608352,-177.4045235,0,14.3,16.2,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
9127,NWHI,Midway,MID-04124,Forereef,Deep,HA1505,2015,8/12/2015,SAG,28.27712,-177.4004,0,22.3,24,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
7362,NWHI,Midway,MID-04071,Forereef,Deep,HA1404,2014,8/22/2014,AGR,28.18954862,-177.3986154,0,22.4,23.2,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
9126,NWHI,Midway,MID-04189,Forereef,Mid,HA1505,2015,8/12/2015,AGR,28.26799,-177.3969,0,7.924413,9.143554,1,0,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
11327,NWHI,Midway,MID-04363,Forereef,Mid,HA1704,2017,9/17/2017,PAV,28.19066,-177.3969,0,11.27705,12.49619,1,0,Midway,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
9136,NWHI,Midway,MID-04167,Forereef,Mid,HA1505,2015,8/13/2015,AGR,28.19062,-177.3967,0,10.36269,11.58183,1,0,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
9131,NWHI,Midway,MID-04182,Forereef,Shallow,HA1505,2015,8/12/2015,PAV,28.26529,-177.3956,0,4,6,0,1,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
9123,NWHI,Midway,MID-04139,Forereef,Deep,HA1505,2015,8/12/2015,SAG,28.27851,-177.3919,0,17.67754,18.89668,1,0,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
9135,NWHI,Midway,MID-04168,Forereef,Mid,HA1505,2015,8/13/2015,AGR,28.19097,-177.3899,0,13.41055,15.54404,1,0,Midway,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
11347,NWHI,Midway,MID-04386,Lagoon,Shallow,HA1704,2017,9/20/2017,RRB,28.25152,-177.3861,0,1.523926,2.133496,1,0,Midway,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
11348,NWHI,Midway,MID-04383,Lagoon,Shallow,HA1704,2017,9/20/2017,RRB,28.23859,-177.3852,0,2.743066,3.657422,1,0,Midway,RANDOM,RAMP_BASIC,2017,NA,NA,NA,NA
