"","SITE","SITEVISITID","ISLAND","YearSinceDHW4","YearSinceDHW8"
"82","BAK-00745",11701,NA,NA,NA
"83","BAK-00752",11715,NA,NA,NA
"84","BAK-00761",11679,NA,NA,NA
"85","BAK-00763",11718,NA,NA,NA
"86","BAK-00770",11719,NA,NA,NA
"87","BAK-00776",11680,NA,NA,NA
"88","BAK-00804",11716,NA,NA,NA
"89","BAK-00813",11702,NA,NA,NA
"90","FDP-00208",7057,NA,NA,NA
"91","FDP-00212",7050,NA,NA,NA
"92","FDP-00221",7048,NA,NA,NA
"93","FDP-00227",7055,NA,NA,NA
"94","FDP-00230",7049,NA,NA,NA
"95","FDP-00239",7047,NA,NA,NA
"96","FDP-00247",7056,NA,NA,NA
"97","FDP-00283",11025,NA,NA,NA
"98","FDP-00289",11026,NA,NA,NA
"99","FDP-00302",11049,NA,NA,NA
"100","FDP-00308",11029,NA,NA,NA
"101","FDP-00309",11052,NA,NA,NA
"102","FDP-00314",11051,NA,NA,NA
"103","FDP-00321",11030,NA,NA,NA
"104","FDP-00327",11028,NA,NA,NA
"105","FDP-00340",11050,NA,NA,NA
"106","FDP-00353",11031,NA,NA,NA
"107","FDP-00361",11027,NA,NA,NA
"108","FDP-00372",11032,NA,NA,NA
"109","FFS-01234",10125,NA,NA,NA
"110","FFS-01258",10114,NA,NA,NA
"111","FFS-01266",10098,NA,NA,NA
"112","FFS-01270",10345,NA,NA,NA
"113","FFS-01271",10368,NA,NA,NA
"114","FFS-01272",10344,NA,NA,NA
"115","FFS-01279",10378,NA,NA,NA
"116","FFS-01284",10099,NA,NA,NA
"117","FFS-01288",10366,NA,NA,NA
"118","FFS-01301",10097,NA,NA,NA
"119","FFS-01302",10100,NA,NA,NA
"120","FFS-01309",10377,NA,NA,NA
"121","FFS-01314",10365,NA,NA,NA
"122","FFS-01317",10367,NA,NA,NA
"123","FFS-01328",10376,NA,NA,NA
"124","FFS-01336",10347,NA,NA,NA
"125","FFS-01338",10379,NA,NA,NA
"126","FFS-01341",10346,NA,NA,NA
"127","FFS-01350",10115,NA,NA,NA
"128","FFS-01355",10111,NA,NA,NA
"129","FFS-01357",10110,NA,NA,NA
"130","FFS-01360",10383,NA,NA,NA
"131","FFS-01362",10117,NA,NA,NA
"132","FFS-01368",10126,NA,NA,NA
"133","FFS-01369",10116,NA,NA,NA
"134","FFS-01394",10382,NA,NA,NA
"135","FFS-04018",7248,NA,NA,NA
"136","FFS-04030",7271,NA,NA,NA
"137","FFS-04042",7270,NA,NA,NA
"138","FFS-04043",7245,NA,NA,NA
"139","FFS-04059",7272,NA,NA,NA
"140","FFS-04062",7243,NA,NA,NA
"141","FFS-04064",7249,NA,NA,NA
"142","FFS-04067",7247,NA,NA,NA
"143","FFS-04079",7246,NA,NA,NA
"144","FFS-04084",7273,NA,NA,NA
"145","FFS-04110",9034,NA,NA,NA
"146","FFS-04112",9033,NA,NA,NA
"147","FFS-04152",9032,NA,NA,NA
"148","FFS-04153",9042,NA,NA,NA
"149","FFS-04154",9043,NA,NA,NA
"150","FFS-04155",9044,NA,NA,NA
"151","FFS-04365",11250,NA,NA,NA
"152","FFS-04383",11245,NA,NA,NA
"153","FFS-04390",11419,NA,NA,NA
"154","FFS-04395",11418,NA,NA,NA
"155","FFS-04454",11408,NA,NA,NA
"156","FFS-04461",11241,NA,NA,NA
"157","FFS-04472",11409,NA,NA,NA
"158","FFS-04493",11410,NA,NA,NA
"159","FFS-04508",11246,NA,NA,NA
"160","FFS-04523",11412,NA,NA,NA
"161","FFS-04527",11251,NA,NA,NA
"162","GUA-01376",6587,NA,NA,NA
"163","GUA-01387",6586,NA,NA,NA
"164","GUA-01390",6631,NA,NA,NA
"165","GUA-01394",6646,NA,NA,NA
"166","GUA-01395",6630,NA,NA,NA
"167","GUA-01421",6628,NA,NA,NA
"168","GUA-01422",6629,NA,NA,NA
"169","GUA-01435",6644,NA,NA,NA
"170","GUA-01438",6645,NA,NA,NA
"171","GUA-01446",6643,NA,NA,NA
"172","GUA-01459",6627,NA,NA,NA
"173","GUA-01462",6666,NA,NA,NA
"174","GUA-01472",6665,NA,NA,NA
"175","GUA-01476",6668,NA,NA,NA
"176","GUA-01487",6664,NA,NA,NA
"177","GUA-01495",6683,NA,NA,NA
"178","GUA-01503",6684,NA,NA,NA
"179","GUA-01510",6682,NA,NA,NA
"180","GUA-01521",6697,NA,NA,NA
"181","GUA-01543",6578,NA,NA,NA
"182","GUA-01552",6580,NA,NA,NA
"183","GUA-01554",6669,NA,NA,NA
"184","GUA-01560",6601,NA,NA,NA
"185","GUA-01565",6588,NA,NA,NA
"186","GUA-01567",6600,NA,NA,NA
"187","GUA-01575",6676,NA,NA,NA
"188","GUA-01593",6579,NA,NA,NA
"189","GUA-01601",6599,NA,NA,NA
"190","GUA-01603",6674,NA,NA,NA
"191","GUA-01604",6677,NA,NA,NA
"192","GUA-01618",6667,NA,NA,NA
"193","GUA-01619",6696,NA,NA,NA
"194","GUA-01624",6598,NA,NA,NA
"195","GUA-01625",6670,NA,NA,NA
"196","GUA-01639",6675,NA,NA,NA
"197","GUA-01851",10655,NA,NA,NA
"198","GUA-01859",10656,NA,NA,NA
"199","GUA-01864",10674,NA,NA,NA
"200","GUA-01869",10657,NA,NA,NA
"201","GUA-01870",10755,NA,NA,NA
"202","GUA-01906",10686,NA,NA,NA
"203","GUA-01908",10754,NA,NA,NA
"204","GUA-01919",10687,NA,NA,NA
"205","GUA-01939",10670,NA,NA,NA
"206","GUA-01944",10756,NA,NA,NA
"207","GUA-01951",10671,NA,NA,NA
"208","GUA-02016",10689,NA,NA,NA
"209","GUA-02020",10691,NA,NA,NA
"210","GUA-02107",10628,NA,NA,NA
"211","GUA-02125",10631,NA,NA,NA
"212","GUA-02140",10682,NA,NA,NA
"213","GUA-02149",10634,NA,NA,NA
"214","GUA-02161",10658,NA,NA,NA
"215","GUA-02166",10630,NA,NA,NA
"216","GUA-02193",10629,NA,NA,NA
"217","GUA-02231",10633,NA,NA,NA
"218","GUA-02247",10673,NA,NA,NA
"219","GUA-02254",10690,NA,NA,NA
"220","GUA-02258",10672,NA,NA,NA
"221","GUA-02274",10753,NA,NA,NA
"222","GUA-02291",10685,NA,NA,NA
"223","GUA-02319",10680,NA,NA,NA
"224","GUA-02332",10681,NA,NA,NA
"225","GUA-02339",10632,NA,NA,NA
"226","GUA-02351",10683,NA,NA,NA
"227","GUG-00201",7159,NA,NA,NA
"228","GUG-00204",7161,NA,NA,NA
"229","GUG-00230",7158,NA,NA,NA
"230","GUG-00234",7160,NA,NA,NA
"231","GUG-00241",7173,NA,NA,NA
"232","GUG-00278",10885,NA,NA,NA
"233","GUG-00293",10884,NA,NA,NA
"234","GUG-00318",10886,NA,NA,NA
"235","HAW-01402",5936,NA,NA,NA
"236","HAW-01411",5937,NA,NA,NA
"237","HAW-01448",5939,NA,NA,NA
"238","HAW-01468",5938,NA,NA,NA
"239","HAW-01476",5942,NA,NA,NA
"240","HAW-01487",5947,NA,NA,NA
"241","HAW-01488",6015,NA,NA,NA
"242","HAW-01540",6016,NA,NA,NA
"243","HAW-01566",5948,NA,NA,NA
"244","HAW-01579",6017,NA,NA,NA
"245","HAW-01619",6018,NA,NA,NA
"246","HAW-01625",5967,NA,NA,NA
"247","HAW-01631",5955,NA,NA,NA
"248","HAW-01643",5956,NA,NA,NA
"249","HAW-01648",5982,NA,NA,NA
"250","HAW-01677",5986,NA,NA,NA
"251","HAW-01693",5987,NA,NA,NA
"252","HAW-01733",5988,NA,NA,NA
"253","HAW-01743",5983,NA,NA,NA
"254","HAW-01748",5957,NA,NA,NA
"255","HAW-01750",5968,NA,NA,NA
"256","HAW-01757",5969,NA,NA,NA
"257","HAW-01759",5981,NA,NA,NA
"258","HAW-01766",5989,NA,NA,NA
"259","HAW-03008",9900,NA,NA,NA
"260","HAW-03009",9960,NA,NA,NA
"261","HAW-03010",9946,NA,NA,NA
"262","HAW-03042",9882,NA,NA,NA
"263","HAW-03057",9898,NA,NA,NA
"264","HAW-03075",9962,NA,NA,NA
"265","HAW-03077",9961,NA,NA,NA
"266","HAW-03079",9948,NA,NA,NA
"267","HAW-03084",9901,NA,NA,NA
"268","HAW-03085",9963,NA,NA,NA
"269","HAW-03087",9899,NA,NA,NA
"270","HAW-03095",9883,NA,NA,NA
"271","HAW-03106",9881,NA,NA,NA
"272","HAW-03115",9947,NA,NA,NA
"273","HAW-03132",9866,NA,NA,NA
"274","HAW-03148",9873,NA,NA,NA
"275","HAW-03151",9867,NA,NA,NA
"276","HAW-03157",9869,NA,NA,NA
"277","HAW-03172",9874,NA,NA,NA
"278","HAW-03186",9876,NA,NA,NA
"279","HAW-03192",9875,NA,NA,NA
"280","HAW-03204",9868,NA,NA,NA
"281","HAW-03236",9851,NA,NA,NA
"282","HAW-03261",9852,NA,NA,NA
"283","HAW-03281",9853,NA,NA,NA
"284","HAW-03288",9854,NA,NA,NA
"285","HAW-03291",9855,NA,NA,NA
"286","HAW-03317",9950,NA,NA,NA
"287","HAW-03321",9902,NA,NA,NA
"288","HAW-03326",9880,NA,NA,NA
"289","HAW-03336",9949,NA,NA,NA
"290","HAW-03433",12870,NA,NA,NA
"291","HAW-03434",12868,NA,NA,NA
"292","HAW-03436",12877,NA,NA,NA
"293","HAW-03441",12878,NA,NA,NA
"294","HAW-03445",12871,NA,NA,NA
"295","HAW-03451",12869,NA,NA,NA
"296","HAW-03465",12879,NA,NA,NA
"297","HAW-04203",12999,NA,NA,NA
"298","HAW-04208",12974,NA,NA,NA
"299","HAW-04219",12997,NA,NA,NA
"300","HAW-04220",12965,NA,NA,NA
"301","HAW-04221",12958,NA,NA,NA
"302","HAW-04222",12996,NA,NA,NA
"303","HAW-04224",12972,NA,NA,NA
"304","HAW-04227",12966,NA,NA,NA
"305","HAW-04231",12973,NA,NA,NA
"306","HAW-04232",12971,NA,NA,NA
"307","HAW-04234",12998,NA,NA,NA
"308","HAW-04237",12957,NA,NA,NA
"309","HAW-04239",12956,NA,NA,NA
"310","HAW-04240",13013,NA,NA,NA
"311","HAW-04241",13014,NA,NA,NA
"312","HAW-04243",13022,NA,NA,NA
"313","HAW-04245",12929,NA,NA,NA
"314","HAW-04247",12959,NA,NA,NA
"315","HAW-04249",12967,NA,NA,NA
"316","HAW-04252",12934,NA,NA,NA
"317","HAW-04253",12938,NA,NA,NA
"318","HAW-04254",13012,NA,NA,NA
"319","HAW-04257",12936,NA,NA,NA
"320","HAW-04259",13062,NA,NA,NA
"321","HAW-04260",13015,NA,NA,NA
"322","HAW-04263",12927,NA,NA,NA
"323","HAW-04264",13028,NA,NA,NA
"324","HAW-04267",12939,NA,NA,NA
"325","HAW-04268",13026,NA,NA,NA
"326","HAW-04272",12935,NA,NA,NA
"327","HAW-04277",12928,NA,NA,NA
"328","HAW-04278",12940,NA,NA,NA
"329","HAW-04280",13024,NA,NA,NA
"330","HAW-04283",12941,NA,NA,NA
"331","HAW-04285",12937,NA,NA,NA
"332","HAW-04287",13023,NA,NA,NA
"333","HAW-04292",13063,NA,NA,NA
"334","HAW-04294",13027,NA,NA,NA
"335","HAW-04296",13025,NA,NA,NA
"336","HAW-04299",13064,NA,NA,NA
"337","HAW-04300",12926,NA,NA,NA
"338","HAW-04304",13021,NA,NA,NA
"339","HOW-00600",7943,NA,NA,NA
"340","HOW-00604",7909,NA,NA,NA
"341","HOW-00607",7942,NA,NA,NA
"342","HOW-00611",7920,NA,NA,NA
"343","HOW-00617",7933,NA,NA,NA
"344","HOW-00636",7935,NA,NA,NA
"345","HOW-00640",7949,NA,NA,NA
"346","HOW-00642",7945,NA,NA,NA
"347","HOW-00646",7911,NA,NA,NA
"348","HOW-00647",7944,NA,NA,NA
"349","HOW-00648",7922,NA,NA,NA
"350","HOW-00650",7948,NA,NA,NA
"351","HOW-00655",7910,NA,NA,NA
"352","HOW-00672",7947,NA,NA,NA
"353","HOW-00686",7964,NA,NA,NA
"354","HOW-00687",7960,NA,NA,NA
"355","HOW-00688",7923,NA,NA,NA
"356","HOW-00690",7921,NA,NA,NA
"357","HOW-00694",7934,NA,NA,NA
"358","HOW-00697",7936,NA,NA,NA
"359","HOW-00699",7963,NA,NA,NA
"360","HOW-00719",10496,NA,NA,NA
"361","HOW-00746",10495,NA,NA,NA
"362","HOW-00778",10497,NA,NA,NA
"363","HOW-00805",10498,NA,NA,NA
"364","HOW-00818",10500,NA,NA,NA
"365","HOW-00822",10499,NA,NA,NA
"366","HOW-00860",11642,NA,NA,NA
"367","HOW-00861",11622,NA,NA,NA
"368","HOW-00862",11660,NA,NA,NA
"369","HOW-00865",11620,NA,NA,NA
"370","HOW-00866",11573,NA,NA,NA
"371","HOW-00890",11643,NA,NA,NA
"372","HOW-00891",11644,NA,NA,NA
"373","HOW-00910",11621,NA,NA,NA
"374","HOW-01031",11661,NA,NA,NA
"375","JAR-00602",8736,NA,NA,NA
"376","JAR-00605",8712,NA,NA,NA
"377","JAR-00608",8690,NA,NA,NA
"378","JAR-00613",8782,NA,NA,NA
"379","JAR-00615",8740,NA,NA,NA
"380","JAR-00617",8716,NA,NA,NA
"381","JAR-00622",8784,NA,NA,NA
"382","JAR-00625",8778,NA,NA,NA
"383","JAR-00627",8738,NA,NA,NA
"384","JAR-00628",8779,NA,NA,NA
"385","JAR-00631",8760,NA,NA,NA
"386","JAR-00634",8761,NA,NA,NA
"387","JAR-00637",8741,NA,NA,NA
"388","JAR-00638",8759,NA,NA,NA
"389","JAR-00642",8691,NA,NA,NA
"390","JAR-00644",8742,NA,NA,NA
"391","JAR-00645",8762,NA,NA,NA
"392","JAR-00647",8695,NA,NA,NA
"393","JAR-00649",8777,NA,NA,NA
"394","JAR-00653",8757,NA,NA,NA
"395","JAR-00657",8717,NA,NA,NA
"396","JAR-00659",8681,NA,NA,NA
"397","JAR-00661",8756,NA,NA,NA
"398","JAR-00662",8694,NA,NA,NA
"399","JAR-00663",8737,NA,NA,NA
"400","JAR-00665",8783,NA,NA,NA
"401","JAR-00667",8714,NA,NA,NA
"402","JAR-00668",8780,NA,NA,NA
"403","JAR-00669",8758,NA,NA,NA
"404","JAR-00674",8713,NA,NA,NA
"405","JAR-00682",8743,NA,NA,NA
"406","JAR-00688",8696,NA,NA,NA
"407","JAR-00694",8739,NA,NA,NA
"408","JAR-00696",8715,NA,NA,NA
"409","JAR-00699",8682,NA,NA,NA
"410","JAR-00704",8692,NA,NA,NA
"411","JAR-00707",8785,NA,NA,NA
"412","JAR-00708",8697,NA,NA,NA
"413","JAR-00721",8683,NA,NA,NA
"414","JAR-00722",8693,NA,NA,NA
"415","JAR-00728",8763,NA,NA,NA
"416","JAR-00730",8718,NA,NA,NA
"417","JAR-00850",9575,NA,NA,NA
"418","JAR-00854",9583,NA,NA,NA
"419","JAR-00860",9570,NA,NA,NA
"420","JAR-00866",9592,NA,NA,NA
"421","JAR-00871",9573,NA,NA,NA
"422","JAR-00875",9601,NA,NA,NA
"423","JAR-00878",9610,NA,NA,NA
"424","JAR-00882",9605,NA,NA,NA
"425","JAR-00885",9572,NA,NA,NA
"426","JAR-00886",9584,NA,NA,NA
"427","JAR-00887",9604,NA,NA,NA
"428","JAR-00888",9594,NA,NA,NA
"429","JAR-00891",9576,NA,NA,NA
"430","JAR-00893",9596,NA,NA,NA
"431","JAR-00895",9603,NA,NA,NA
"432","JAR-00901",9612,NA,NA,NA
"433","JAR-00902",9613,NA,NA,NA
"434","JAR-00906",9611,NA,NA,NA
"435","JAR-00910",9600,NA,NA,NA
"436","JAR-00913",9602,NA,NA,NA
"437","JAR-00918",9593,NA,NA,NA
"438","JAR-00920",9586,NA,NA,NA
"439","JAR-00921",9595,NA,NA,NA
"440","JAR-00932",9585,NA,NA,NA
"441","JAR-00936",9614,NA,NA,NA
"442","JAR-00939",9578,NA,NA,NA
"443","JAR-00941",9587,NA,NA,NA
"444","JAR-00951",9571,NA,NA,NA
"445","JAR-00954",9574,NA,NA,NA
"446","JAR-00959",9577,NA,NA,NA
"447","JAR-01111",10432,NA,NA,NA
"448","JAR-01113",10399,NA,NA,NA
"449","JAR-01122",10427,NA,NA,NA
"450","JAR-01126",10416,NA,NA,NA
"451","JAR-01131",10418,NA,NA,NA
"452","JAR-01133",10419,NA,NA,NA
"453","JAR-01137",10447,NA,NA,NA
"454","JAR-01142",10433,NA,NA,NA
"455","JAR-01158",10428,NA,NA,NA
"456","JAR-01680",10421,NA,NA,NA
"457","JAR-01681",10420,NA,NA,NA
"458","JAR-01685",10422,NA,NA,NA
"459","JAR-01686",10445,NA,NA,NA
"460","JAR-01687",10435,NA,NA,NA
"461","JAR-01688",10401,NA,NA,NA
"462","JAR-01699",10429,NA,NA,NA
"463","JAR-01715",10400,NA,NA,NA
"464","JAR-01718",10424,NA,NA,NA
"465","JAR-01720",10430,NA,NA,NA
"466","JAR-01723",10431,NA,NA,NA
"467","JAR-01745",10403,NA,NA,NA
"468","JAR-01751",10423,NA,NA,NA
"469","JAR-01752",10417,NA,NA,NA
"470","JAR-01753",10443,NA,NA,NA
"471","JAR-01757",10450,NA,NA,NA
"472","JAR-01760",10434,NA,NA,NA
"473","JAR-01761",10448,NA,NA,NA
"474","JAR-01763",10442,NA,NA,NA
"475","JAR-01767",10402,NA,NA,NA
"476","JAR-01776",10449,NA,NA,NA
"477","JAR-01779",10444,NA,NA,NA
"478","JAR-01789",10446,NA,NA,NA
"479","JAR-01900",12300,NA,NA,NA
"480","JAR-01915",12301,NA,NA,NA
"481","JAR-01916",12213,NA,NA,NA
"482","JAR-01918",12247,NA,NA,NA
"483","JAR-01919",12232,NA,NA,NA
"484","JAR-01923",12302,NA,NA,NA
"485","JAR-01931",12306,NA,NA,NA
"486","JAR-01935",12248,NA,NA,NA
"487","JAR-01939",12303,NA,NA,NA
"488","JAR-01945",12273,NA,NA,NA
"489","JAR-01948",12214,NA,NA,NA
"490","JAR-01950",12249,NA,NA,NA
"491","JAR-01965",12274,NA,NA,NA
"492","JAR-01967",12275,NA,NA,NA
"493","JAR-01974",12234,NA,NA,NA
"494","JAR-01977",12304,NA,NA,NA
"495","JAR-01980",12212,NA,NA,NA
"496","JAR-01981",12272,NA,NA,NA
"497","JAR-01984",12233,NA,NA,NA
"498","JAR-01995",12215,NA,NA,NA
"499","JAR-01997",12251,NA,NA,NA
"500","JAR-02016",12277,NA,NA,NA
"501","JAR-02019",12217,NA,NA,NA
"502","JAR-02021",12216,NA,NA,NA
"503","JAR-02031",12235,NA,NA,NA
"504","JAR-02039",12305,NA,NA,NA
"505","JAR-02040",12276,NA,NA,NA
"506","JAR-02046",12250,NA,NA,NA
"507","JOH-00610",7894,NA,NA,NA
"508","JOH-00613",7897,NA,NA,NA
"509","JOH-00643",7895,NA,NA,NA
"510","JOH-00645",7896,NA,NA,NA
"511","JOH-00664",7866,NA,NA,NA
"512","JOH-00675",7873,NA,NA,NA
"513","JOH-00701",7848,NA,NA,NA
"514","JOH-00711",7850,NA,NA,NA
"515","JOH-00714",7874,NA,NA,NA
"516","JOH-00715",7867,NA,NA,NA
"517","JOH-00722",7868,NA,NA,NA
"518","JOH-00765",7869,NA,NA,NA
"519","JOH-00776",7849,NA,NA,NA
"520","JOH-00833",7875,NA,NA,NA
"521","JOH-00843",7876,NA,NA,NA
"522","KAH-00321",10039,NA,NA,NA
"523","KAH-00327",9662,NA,NA,NA
"524","KAH-00334",10042,NA,NA,NA
"525","KAH-00336",9665,NA,NA,NA
"526","KAH-00358",9664,NA,NA,NA
"527","KAH-00362",10041,NA,NA,NA
"528","KAH-00363",9661,NA,NA,NA
"529","KAH-00369",9660,NA,NA,NA
"530","KAH-00370",9663,NA,NA,NA
"531","KAH-00385",9659,NA,NA,NA
"532","KAH-00419",10040,NA,NA,NA
"533","KAH-00608",12895,NA,NA,NA
"534","KAH-00619",12696,NA,NA,NA
"535","KAH-00627",12698,NA,NA,NA
"536","KAH-00632",12893,NA,NA,NA
"537","KAH-00635",12705,NA,NA,NA
"538","KAH-00646",12892,NA,NA,NA
"539","KAH-00659",12697,NA,NA,NA
"540","KAH-00662",12897,NA,NA,NA
"541","KAH-00663",12894,NA,NA,NA
"542","KAH-00672",12896,NA,NA,NA
"543","KAU-01217",6154,NA,NA,NA
"544","KAU-01231",6074,NA,NA,NA
"545","KAU-01238",6159,NA,NA,NA
"546","KAU-01252",6155,NA,NA,NA
"547","KAU-01263",6158,NA,NA,NA
"548","KAU-01291",6157,NA,NA,NA
"549","KAU-01293",6156,NA,NA,NA
"550","KAU-01312",6116,NA,NA,NA
"551","KAU-01339",6121,NA,NA,NA
"552","KAU-01340",6119,NA,NA,NA
"553","KAU-01352",6122,NA,NA,NA
"554","KAU-01361",6120,NA,NA,NA
"555","KAU-01363",6117,NA,NA,NA
"556","KAU-01366",6118,NA,NA,NA
"557","KAU-01704",9770,NA,NA,NA
"558","KAU-01709",9806,NA,NA,NA
"559","KAU-01729",9760,NA,NA,NA
"560","KAU-01732",9771,NA,NA,NA
"561","KAU-01739",9761,NA,NA,NA
"562","KAU-01748",9762,NA,NA,NA
"563","KAU-01763",9808,NA,NA,NA
"564","KAU-01764",9773,NA,NA,NA
"565","KAU-01766",9807,NA,NA,NA
"566","KAU-01771",9809,NA,NA,NA
"567","KAU-01785",9772,NA,NA,NA
"568","KAU-01799",9793,NA,NA,NA
"569","KAU-01815",9792,NA,NA,NA
"570","KAU-01848",9794,NA,NA,NA
"571","KAU-01851",9796,NA,NA,NA
"572","KAU-01874",9797,NA,NA,NA
"573","KAU-01875",9795,NA,NA,NA
"574","KAU-02100",13216,NA,NA,NA
"575","KAU-02101",13112,NA,NA,NA
"576","KAU-02105",13115,NA,NA,NA
"577","KAU-02113",13219,NA,NA,NA
"578","KAU-02115",13116,NA,NA,NA
"579","KAU-02118",13218,NA,NA,NA
"580","KAU-02119",13113,NA,NA,NA
"581","KAU-02127",13114,NA,NA,NA
"582","KAU-02128",13117,NA,NA,NA
"583","KAU-02133",13217,NA,NA,NA
"584","KAU-02145",13201,NA,NA,NA
"585","KAU-02146",13202,NA,NA,NA
"586","KAU-02160",13204,NA,NA,NA
"587","KAU-02164",13203,NA,NA,NA
"588","KAU-02166",13205,NA,NA,NA
"589","KIN-00400",8945,NA,NA,NA
"590","KIN-00414",8946,NA,NA,NA
"591","KIN-00423",8996,NA,NA,NA
"592","KIN-00427",8947,NA,NA,NA
"593","KIN-00438",8948,NA,NA,NA
"594","KIN-00440",8994,NA,NA,NA
"595","KIN-00448",8971,NA,NA,NA
"596","KIN-00450",8926,NA,NA,NA
"597","KIN-00463",8972,NA,NA,NA
"598","KIN-00474",8927,NA,NA,NA
"599","KIN-00477",8976,NA,NA,NA
"600","KIN-00480",8928,NA,NA,NA
"601","KIN-00488",8977,NA,NA,NA
"602","KIN-00492",8929,NA,NA,NA
"603","KIN-00548",8975,NA,NA,NA
"604","KIN-00556",8984,NA,NA,NA
"605","KIN-00574",8973,NA,NA,NA
"606","KIN-00586",8985,NA,NA,NA
"607","KIN-00588",8986,NA,NA,NA
"608","KIN-00599",8987,NA,NA,NA
"609","KIN-00610",8974,NA,NA,NA
"610","KIN-00616",9003,NA,NA,NA
"611","KIN-00623",9002,NA,NA,NA
"612","KIN-00652",9004,NA,NA,NA
"613","KIN-00815",12484,NA,NA,NA
"614","KIN-00821",12490,NA,NA,NA
"615","KIN-00832",12436,NA,NA,NA
"616","KIN-00835",12438,NA,NA,NA
"617","KIN-00837",12485,NA,NA,NA
"618","KIN-00838",12486,NA,NA,NA
"619","KIN-00841",12437,NA,NA,NA
"620","KIN-00843",12434,NA,NA,NA
"621","KIN-00850",12433,NA,NA,NA
"622","KIN-00855",12494,NA,NA,NA
"623","KIN-00860",12487,NA,NA,NA
"624","KIN-00862",12496,NA,NA,NA
"625","KIN-00863",12491,NA,NA,NA
"626","KIN-00865",12492,NA,NA,NA
"627","KIN-00868",12439,NA,NA,NA
"628","KIN-00871",12488,NA,NA,NA
